"WY","Oct_Mar","Apr_Jul","WYsum","Index","Yr_type","location","WY_type"
1901,3.49,5.58,9.39,4.6,"Wet","San Joaquin Valley","W"
1902,1.12,3.81,5.08,3.41,"Above Normal","San Joaquin Valley","AN"
1903,1.45,4.13,5.71,3.45,"Above Normal","San Joaquin Valley","AN"
1904,1.96,5.37,7.64,4.31,"Wet","San Joaquin Valley","W"
1905,1.82,3.36,5.3,3.24,"Above Normal","San Joaquin Valley","AN"
1906,2.53,9.24,12.43,6.7,"Wet","San Joaquin Valley","W"
1907,3.67,7.61,11.82,6.2,"Wet","San Joaquin Valley","W"
1908,0.98,2.17,3.32,2.4,"Dry","San Joaquin Valley","D"
1909,2.85,5.91,8.97,4.59,"Wet","San Joaquin Valley","W"
1910,2.87,3.62,6.64,3.65,"Above Normal","San Joaquin Valley","AN"
1911,3.63,7.52,11.48,5.97,"Wet","San Joaquin Valley","W"
1912,0.54,2.57,3.21,2.55,"Below Normal","San Joaquin Valley","BN"
1913,0.44,2.34,3,2,"Critical","San Joaquin Valley","C"
1914,2.72,5.67,8.69,4.35,"Wet","San Joaquin Valley","W"
1915,1.29,4.95,6.4,4.1,"Wet","San Joaquin Valley","W"
1916,2.67,5.5,8.38,4.65,"Wet","San Joaquin Valley","W"
1917,1.66,4.84,6.66,4.13,"Wet","San Joaquin Valley","W"
1918,1.07,3.4,4.59,3.08,"Below Normal","San Joaquin Valley","BN"
1919,1.06,2.99,4.09,2.62,"Below Normal","San Joaquin Valley","BN"
1920,0.72,3.29,4.09,2.64,"Below Normal","San Joaquin Valley","BN"
1921,1.97,3.84,5.9,3.23,"Above Normal","San Joaquin Valley","AN"
1922,1.51,5.99,7.68,4.54,"Wet","San Joaquin Valley","W"
1923,1.39,3.95,5.51,3.55,"Above Normal","San Joaquin Valley","AN"
1924,0.45,1.03,1.5,1.42,"Critical","San Joaquin Valley","C"
1925,1.45,3.93,5.51,2.93,"Below Normal","San Joaquin Valley","BN"
1926,0.89,2.56,3.49,2.3,"Dry","San Joaquin Valley","D"
1927,1.8,4.56,6.5,3.56,"Above Normal","San Joaquin Valley","AN"
1928,1.69,2.64,4.37,2.63,"Below Normal","San Joaquin Valley","BN"
1929,0.52,2.29,2.84,2,"Critical","San Joaquin Valley","C"
1930,0.76,2.44,3.25,2.02,"Critical","San Joaquin Valley","C"
1931,0.46,1.18,1.66,1.2,"Critical","San Joaquin Valley","C"
1932,1.79,4.69,6.63,3.41,"Above Normal","San Joaquin Valley","AN"
1933,0.49,2.77,3.34,2.44,"Dry","San Joaquin Valley","D"
1934,0.98,1.26,2.28,1.44,"Critical","San Joaquin Valley","C"
1935,1.26,5.03,6.41,3.56,"Above Normal","San Joaquin Valley","AN"
1936,2,4.38,6.49,3.74,"Above Normal","San Joaquin Valley","AN"
1937,1.78,4.66,6.53,3.9,"Wet","San Joaquin Valley","W"
1938,3.58,7.33,11.24,5.89,"Wet","San Joaquin Valley","W"
1939,1,1.83,2.9,2.2,"Dry","San Joaquin Valley","D"
1940,2.49,4.04,6.59,3.36,"Above Normal","San Joaquin Valley","AN"
1941,2.22,5.51,7.93,4.43,"Wet","San Joaquin Valley","W"
1942,1.93,5.28,7.38,4.44,"Wet","San Joaquin Valley","W"
1943,2.86,4.28,7.28,4.03,"Wet","San Joaquin Valley","W"
1944,0.87,2.97,3.92,2.76,"Below Normal","San Joaquin Valley","BN"
1945,2.07,4.37,6.6,3.59,"Above Normal","San Joaquin Valley","AN"
1946,1.99,3.65,5.73,3.3,"Above Normal","San Joaquin Valley","AN"
1947,1.26,2.12,3.42,2.18,"Dry","San Joaquin Valley","D"
1948,0.56,3.58,4.21,2.7,"Below Normal","San Joaquin Valley","BN"
1949,0.62,3.12,3.79,2.53,"Below Normal","San Joaquin Valley","BN"
1950,1.02,3.57,4.65,2.85,"Below Normal","San Joaquin Valley","BN"
1951,4.35,2.83,7.25,3.14,"Above Normal","San Joaquin Valley","AN"
1952,2.18,6.84,9.3,5.17,"Wet","San Joaquin Valley","W"
1953,1.07,3.18,4.35,3.03,"Below Normal","San Joaquin Valley","BN"
1954,1.1,3.16,4.3,2.72,"Below Normal","San Joaquin Valley","BN"
1955,0.78,2.67,3.5,2.3,"Dry","San Joaquin Valley","D"
1956,4.14,5.29,9.67,4.46,"Wet","San Joaquin Valley","W"
1957,1.02,3.19,4.29,3.01,"Below Normal","San Joaquin Valley","BN"
1958,1.67,6.4,8.36,4.77,"Wet","San Joaquin Valley","W"
1959,0.98,1.85,2.98,2.21,"Dry","San Joaquin Valley","D"
1960,0.85,2.07,2.96,1.85,"Critical","San Joaquin Valley","C"
1961,0.54,1.5,2.1,1.38,"Critical","San Joaquin Valley","C"
1962,1.26,4.24,5.61,3.07,"Below Normal","San Joaquin Valley","BN"
1963,1.68,4.37,6.24,3.57,"Above Normal","San Joaquin Valley","AN"
1964,0.93,2.14,3.14,2.19,"Dry","San Joaquin Valley","D"
1965,3.2,4.55,8.13,3.81,"Wet","San Joaquin Valley","W"
1966,1.49,2.42,3.98,2.51,"Below Normal","San Joaquin Valley","BN"
1967,2.46,7.09,9.98,5.25,"Wet","San Joaquin Valley","W"
1968,1.02,1.85,2.94,2.21,"Dry","San Joaquin Valley","D"
1969,3.84,8.14,12.29,6.09,"Wet","San Joaquin Valley","W"
1970,2.55,2.96,5.61,3.18,"Above Normal","San Joaquin Valley","AN"
1971,1.56,3.23,4.91,2.89,"Below Normal","San Joaquin Valley","BN"
1972,1.25,2.22,3.57,2.16,"Dry","San Joaquin Valley","D"
1973,1.87,4.48,6.47,3.5,"Above Normal","San Joaquin Valley","AN"
1974,2.43,4.53,7.12,3.9,"Wet","San Joaquin Valley","W"
1975,1.37,4.65,6.18,3.85,"Wet","San Joaquin Valley","W"
1976,0.78,1.07,1.97,1.57,"Critical","San Joaquin Valley","C"
1977,0.22,0.8,1.05,0.84,"Critical","San Joaquin Valley","C"
1978,2.57,6.5,9.65,4.58,"Wet","San Joaquin Valley","W"
1979,1.87,3.99,5.98,3.67,"Above Normal","San Joaquin Valley","AN"
1980,3.74,5.41,9.47,4.73,"Wet","San Joaquin Valley","W"
1981,0.85,2.29,3.22,2.44,"Dry","San Joaquin Valley","D"
1982,3.78,7,11.41,5.45,"Wet","San Joaquin Valley","W"
1983,5.42,8.73,15.01,7.22,"Wet","San Joaquin Valley","W"
1984,3.51,3.48,7.13,3.69,"Above Normal","San Joaquin Valley","AN"
1985,1.11,2.41,3.6,2.4,"Dry","San Joaquin Valley","D"
1986,4.36,4.92,9.5,4.31,"Wet","San Joaquin Valley","W"
1987,0.55,1.48,2.08,1.86,"Critical","San Joaquin Valley","C"
1988,0.86,1.55,2.48,1.48,"Critical","San Joaquin Valley","C"
1989,1.07,2.42,3.56,1.96,"Critical","San Joaquin Valley","C"
1990,0.83,1.59,2.46,1.51,"Critical","San Joaquin Valley","C"
1991,0.56,2.57,3.2,1.96,"Critical","San Joaquin Valley","C"
1992,0.86,1.66,2.58,1.56,"Critical","San Joaquin Valley","C"
1993,2.49,5.65,8.38,4.2,"Wet","San Joaquin Valley","W"
1994,0.66,1.8,2.54,2.05,"Critical","San Joaquin Valley","C"
1995,3.67,8.01,12.32,5.95,"Wet","San Joaquin Valley","W"
1996,2.57,4.51,7.22,4.12,"Wet","San Joaquin Valley","W"
1997,5.75,3.59,9.51,4.13,"Wet","San Joaquin Valley","W"
1998,2.82,7.11,10.43,5.65,"Wet","San Joaquin Valley","W"
1999,1.9,3.85,5.91,3.59,"Above Normal","San Joaquin Valley","AN"
2000,1.98,3.78,5.9,3.38,"Above Normal","San Joaquin Valley","AN"
2001,0.92,2.23,3.18,2.2,"Dry","San Joaquin Valley","D"
2002,1.27,2.75,4.06,2.34,"Dry","San Joaquin Valley","D"
2003,1.25,3.49,4.87,2.81,"Below Normal","San Joaquin Valley","BN"
2004,1.51,2.25,3.81,2.21,"Dry","San Joaquin Valley","D"
2005,2.73,6.28,9.21,4.75,"Wet","San Joaquin Valley","W"
2006,2.86,7.37,10.44,5.9,"Wet","San Joaquin Valley","W"
2007,0.99,1.46,2.51,1.97,"Critical","San Joaquin Valley","C"
2008,0.99,2.45,3.49,2.06,"Critical","San Joaquin Valley","C"
2009,1.51,3.35,4.94,2.72,"Below Normal","San Joaquin Valley","BN"
2010,1.43,4.53,6.08,3.55,"Above Normal","San Joaquin Valley","AN"
2011,3.68,6.9,10.99,5.58,"Wet","San Joaquin Valley","W"
2012,0.83,1.86,2.76,2.18,"Dry","San Joaquin Valley","D"
2013,1.33,1.67,3.05,1.71,"Critical","San Joaquin Valley","C"
2014,0.46,1.21,1.72,1.16,"Critical","San Joaquin Valley","C"
2015,0.67,0.74,1.44,0.81,"Critical","San Joaquin Valley","C"
2016,2.03,2.98,5.06,2.35,"Dry","San Joaquin Valley","D"
2017,6.65,7.77,14.84,6.46,"Wet","San Joaquin Valley","W"
2018,NA,NA,NA,NA,"BN","San Joaquin Valley","BN"
2019,NA,NA,NA,NA,"W","San Joaquin Valley","W"
2020,NA,NA,NA,NA,"D","San Joaquin Valley","D"
2021,NA,NA,NA,NA,"C","San Joaquin Valley","C"
2022,NA,NA,NA,NA,"C","San Joaquin Valley","C"
2023,NA,NA,NA,NA,"W","San Joaquin Valley","W"
